Year,Genre,Count
1968,Adventure,1
1968,Drama,4
1968,Family,2
1968,Music,1
1968,Horror,2
1968,Comedy,1
1968,Western,3
1968,Mystery,2
1968,Romance,1
1968,Science Fiction,3
1960,Drama,3
1960,Comedy,1
1960,Romance,1
1960,Horror,1
1960,Thriller,1
1985,Romance,6
1985,Thriller,9
1985,War,1
1985,Crime,3
1985,Western,2
1985,Mystery,1
1985,Comedy,5
1985,Horror,5
1985,Family,4
1985,Action,10
1985,Fantasy,4
1985,Adventure,10
1985,Science Fiction,6
1985,Music,1
1985,Drama,10
1979,Horror,2
1979,Science Fiction,7
1979,Drama,6
1979,Mystery,1
1979,Family,3
1979,Romance,1
1979,Music,2
1979,Crime,2
1979,Action,7
1979,Adventure,7
1979,Thriller,5
1979,War,1
1979,Comedy,2
1975,War,1
1975,Thriller,1
1975,Horror,1
1975,Adventure,2
1975,Fantasy,1
1975,Action,1
1975,Science Fiction,1
1975,Romance,1
1975,Drama,2
1975,Comedy,3
1916,Drama,1
1961,Action,1
1961,Comedy,1
1961,Music,1
1961,Drama,5
1961,Crime,1
1961,Romance,1
1961,History,1
1967,Drama,2
1967,Action,2
1967,Crime,2
1967,Horror,1
1967,Thriller,2
1967,Mystery,1
1967,History,1
1967,Adventure,1
1932,Drama,1
1932,Romance,1
1932,War,1
1999,Adventure,13
1999,War,3
1999,Animation,6
1999,Romance,42
1999,Fantasy,11
1999,Western,4
1999,Action,25
1999,Family,15
1999,History,5
1999,Documentary,1
1999,Drama,91
1999,Science Fiction,20
1999,Foreign,3
1999,Horror,15
1999,Crime,24
1999,Mystery,20
1999,Thriller,39
1999,Comedy,84
1999,Music,4
1990,Science Fiction,5
1990,Comedy,11
1990,Family,4
1990,Romance,5
1990,Drama,10
1990,Western,2
1990,Mystery,2
1990,Thriller,9
1990,Horror,7
1990,Fantasy,3
1990,Adventure,8
1990,Action,8
1990,Crime,4
2007,Drama,97
2007,Adventure,25
2007,Comedy,67
2007,Horror,27
2007,Documentary,7
2007,Fantasy,19
2007,Animation,10
2007,Mystery,17
2007,Thriller,53
2007,Crime,28
2007,Action,44
2007,Family,20
2007,War,2
2007,Western,5
2007,Music,11
2007,History,9
2007,Foreign,3
2007,Science Fiction,13
2007,Romance,37
1993,Adventure,13
1993,Science Fiction,7
1993,Family,8
1993,Mystery,3
1993,History,3
1993,War,2
1993,Horror,3
1993,Music,2
1993,Action,17
1993,Thriller,12
1993,Fantasy,10
1993,Comedy,14
1993,Crime,8
1993,Western,1
1993,Romance,11
1993,Drama,26
1993,Animation,1
2016,Animation,4
2016,Science Fiction,11
2016,Mystery,6
2016,Fantasy,13
2016,History,6
2016,Western,1
2016,Family,9
2016,War,3
2016,Comedy,26
2016,Horror,20
2016,Thriller,27
2016,Crime,10
2016,Music,1
2016,Drama,37
2016,Action,39
2016,Adventure,23
2016,Romance,9
1982,Crime,2
1982,History,1
1982,Fantasy,5
1982,Thriller,7
1982,Family,2
1982,Comedy,6
1982,Science Fiction,8
1982,Mystery,2
1982,Romance,2
1982,Action,8
1982,Adventure,6
1982,Horror,8
1982,Western,1
1982,Drama,8
1982,War,1
1998,Foreign,1
1998,Crime,20
1998,War,4
1998,Drama,76
1998,History,4
